id;reference;amount;created_at;status;type;active;screenshot;screenshot_content_type;client_id;provider_id;beneficiary_id
1;lively furthermore;8676.09;2024-06-16T17:47:40;ASSIGNED;FOOD;false;../fake-data/blob/hipster.png;image/png;1;1;1
2;eek geez geez;16966.47;2024-06-16T02:52:24;REFUSED;ALL;true;../fake-data/blob/hipster.png;image/png;2;2;2
3;underwriting upgrade;16810.13;2024-06-16T15:23:16;REFUSED;ALL;true;../fake-data/blob/hipster.png;image/png;1;2;3
4;govern boohoo suffocation;25514.41;2024-06-16T00:08:24;ASSIGNED;MONEY;false;../fake-data/blob/hipster.png;image/png;2;1;4
5;till;28796.9;2024-06-16T02:26:34;ACCEPTED;FOOD;false;../fake-data/blob/hipster.png;image/png;1;2;5
6;victoriously to gadzooks;29714.73;2024-06-16T14:15:29;CANCELED;ALL;true;../fake-data/blob/hipster.png;image/png;1;2;6
7;by crib toward;2575.11;2024-06-16T08:09:04;COMPLETED;ALL;true;../fake-data/blob/hipster.png;image/png;2;2;7
8;alongside;18603.72;2024-06-16T17:12:44;ACCEPTED;ALL;true;../fake-data/blob/hipster.png;image/png;2;1;8
9;yippee per difficulty;27388.49;2024-06-16T01:38:59;ACCEPTED;ALL;false;../fake-data/blob/hipster.png;image/png;2;2;9
10;yummy duh ex-wife;27979.01;2024-06-16T18:08:16;ONWAY;FOOD;true;../fake-data/blob/hipster.png;image/png;1;1;10
